"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1","photograph","finger","clothing","font","group","sport","street","sign","sleeve","nose"
"2","socialgroup","microphone","celebrities","blue","cap","motorvehicle","banner","handwriting","gesture","skin"
"3","community","audioequipment","dressshirt","electricblue","streetfashion","jersey","road","advertising","temple","posing"
"4","event","electronicdevice","coat","black","flag","player","building","sky","blazer","eyewear"
"5","interaction","hand","formalwear","yellow","hat","car","city","nature","tie","glasses"
"6","standing","publicspeaking","outerwear","red","mammal","modeoftransport","protest","signage","sitting","visioncare"
"7","product","technology","style","line","headgear","sportswear","rebellion","tree","white-collarworker","head"
"8","fun","thumb","dressed","world","human","sportsuniform","urbanarea","poster","activeshirt","mouth"
"9","white","wrist","standing","logo","protest","transport","publicevent","fire","costumeaccessory","ear"
"10","lawenforcement","spokesperson","necktie","graphicaluserinterface","cool","grass","sky","sculpture","newspaper","face"
