"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1","orange","sport","photograph","fashion","eyewear","building","military","font","suit","cheek","event","indoor"
"2","fire","sports","blue","cap","care","area","uniform","sign","shirt","eyebrow","automotive","human"
"3","gas","jersey","social","hair","device","road","police","gesture","collar","lip","vehicle","sitting"
"4","gun","player","community","hat","glasses","flag","enforcement","finger","dress","nose","protest","body"
"5","amber","uniform","white","street","vision","street","law","thumb","coat","skin","public","arm"
"6","pollution","team","product","headgear","equipment","sky","helmet","advertising","formal","posing","banner","table"
"7","heat","sportswear","standing","accessory","audio","city","official","hand","wear","indoor","car","leg"
"8","food","grass","fun","cool","electronic","urban","officer","wrist","clothing","facial","transport","sharing"
"9","dark","game","interaction","sleeve","microphone","metropolitan","security","logo","outerwear","hair","bicycle","wall"
"10","smoke","athletic","photography","costume","technology","property","personal","graphics","public","head","light","floor"
