,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
1,dressshirt,lawenforcement,eyewear,finger,blazer,skin,sign,street,sky,socialgroup,sport,font,sleeve
2,clothing,motorvehicle,glasses,gesture,sitting,celebrities,protest,road,property,community,jersey,electricblue,streetfashion
3,celebrities,police,visioncare,hand,white-collarworker,head,banner,city,building,interaction,player,blue,product
4,microphone,car,cap,arm,tie,mouth,publicevent,urbanarea,tree,event,sportswear,red,temple
5,audioequipment,uniform,hat,thumb,music,ear,human,metropolitanarea,daytime,fun,leg,line,jacket
6,coat,helmet,headgear,wrist,entertainment,style,flag,pedestrian,landmark,white,sportsuniform,logo,shoulder
7,outerwear,militaryuniform,facialhair,displaydevice,formalwear,face,rebellion,infrastructure,grass,mammal,humanbody,graphicaluserinterface,fashion
8,dressed,modeoftransport,sunglasses,nail,musicartist,wall,handwriting,yellow,realestate,product,footwear,graphics,cool
9,formalwear,policeofficer,baseballcap,elbow,table,eye,tree,building,signage,youth,sleevelessshirt,symbol,t-shirt
10,electronicdevice,official,beard,joint,suittrousers,facialexpression,advertising,asphalt,window,fire,grass,black,joint
